corrigendum_id	printed_target	target_layer	target_anchors	source_line_ids	source_pages	source_entry_lines	routing_status	canonical_Arabic_change
S01-E053	199	Part I Latin translation/notes	"[""AB01-PDF0288""]"	"[""AB01-PDF0082-body-L031""]"	[82]	"[""199,12, adde: <i>ut cap. XXXIX, p. 78–79.</i>""]"	REGISTERED_NOT_APPLIED	none
S01-E054	202	Part I Latin translation/notes	"[""AB01-PDF0291""]"	"[""AB01-PDF0082-body-L032""]"	[82]	"[""202, ter in formulis <m>\\frac{\\cos\\beta}{2R}</m> occurrit, quod emendandum <m>\\frac{\\cos\\beta}{R}</m>.""]"	REGISTERED_NOT_APPLIED	none
S01-E055	204	Part I Latin translation/notes	"[""AB01-PDF0293""]"	"[""AB01-PDF0082-body-L033"", ""AB01-PDF0082-body-L034"", ""AB01-PDF0082-body-L035"", ""AB01-PDF0082-body-L036"", ""AB01-PDF0082-body-L037"", ""AB01-PDF0082-body-L038"", ""AB01-PDF0082-body-L039""]"	[82]	"[""204, adn. <i>a</i>: Fractionem diei <m>\\frac{1}{130}</m> Platonem scripsisse, non <m>\\frac{1}{131}</m> ut editiones habent, elucet e"", ""consensu codicis Vaticani, Parisiensis, Veneti (alios de hac re non consului), et libri qui"", ""<i>Almagesti parvum</i> inscribitur (de quo praefat. p. XXVI–XXVII). Hic, f. 10,r., affirmat: « Egi-"", ""« ptiorum antiquissimi ex babilonia sicut per suas considerationes deprehenderunt ipsum"", ""« [anni tempus] ex .CCCLXV. diebus et quarta diei et una parte ex .CXXX. diei par-"", ""« tibus constare dixerunt ». In exemplari suo Arabico Plato <ar>قل</ar> 130 loco <ar>قك</ar> 120 inve-"", ""nisse videtur.""]"	REGISTERED_NOT_APPLIED	none
S01-E056	205	Part I Latin translation/notes	"[""AB01-PDF0294""]"	"[""AB01-PDF0082-body-L040""]"	[82]	"[""205, adn. 1, pro <i>al-Mumti‘</i> et <i>al-muqni‘</i> l. <i>al-Mumta‘</i> et <i>al-maqna‘</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E057	215	Part I Latin translation/notes	"[""AB01-PDF0304""]"	"[""AB01-PDF0083-body-L001"", ""AB01-PDF0083-body-L002"", ""AB01-PDF0083-body-L003"", ""AB01-PDF0083-body-L004"", ""AB01-PDF0083-body-L005"", ""AB01-PDF0083-body-L006"", ""AB01-PDF0083-body-L007""]"	[83]	"[""215: E <n>Snellii</n> auctoritate, narrat <n>Montucla</n> (<i>Hist. des mathématiques</i>, nouvelle édition,"", ""Paris, an VII–X, t. I, p. 366) az-Zarqālī, circa annos 1070–80 florentem, ad vitandam"", ""incertam solstitiorum observationem, in calculo longitudinis apogaei solaris usum esse ob-"", ""servationibus Solis in ambobus aequinoctiis ac tertio quolibet eclipticae puncto, vel etiam"", ""in tribus punctis quibuscumque. Est ratio igitur de qua al-Bīrūnī l. c. agit. Ex quo az-"", ""-Zarqālī operum (quorum solus liber de sphaea, in versione Hispanica, typis excusus est)"", ""Snellius talia compererit nescio.""]"	REGISTERED_NOT_APPLIED	none
S01-E058	216	Part I Latin translation/notes	"[""AB01-PDF0305""]"	"[""AB01-PDF0083-body-L008"", ""AB01-PDF0083-body-L009"", ""AB01-PDF0083-body-L010"", ""AB01-PDF0083-body-L011"", ""AB01-PDF0083-body-L012"", ""AB01-PDF0083-body-L013"", ""AB01-PDF0083-body-L014"", ""AB01-PDF0083-body-L015"", ""AB01-PDF0083-body-L016"", ""AB01-PDF0083-body-L017""]"	[83]	"[""216: Priore II saec. Chr. medietate, <n>Theon Smyrnaeus</n> (minime cum Alexandrino confun-"", ""dendus) annum sideralem, quem a tropico non distinguit, ponit <m>365\\frac{1}{4}</m> esse dierum; an-"", ""num anomalisticum, quo Sol ad apogeum redit, <m>365\\frac{1}{2}</m>. Motum igitur praecessionis ne-"", ""gans, manifeste putat apogeum solare totum zodiacum percurrere 1461 annis, i. e. <m>27′\\,6″\\,\\frac{1}{2}</m>"", ""quotannis moveri! Unde haec absurda sumpserit nescimus; error in textu Graeco non potest"", ""coniici, nam, ut <n>Martin</n> p. 110 animadvertit, auctor ipse addit Solem ad idem altitudinis"", ""punctum, id est ad eandem a Terra distantiam, eadem diei hora singulis <i>bienniis</i> redire (1)."", ""Recte igitur Martin l. c. iudicat: « Ecce vero Theon Smyrnaeus solaris apogei in"", ""« zodiaco motum erga aequinoctia et erga stellas iam affirmaverat, et ita quidem iusto"", ""« citiorem fecerat, ut satius fuerit eum ignorare aut negare, quam talem credere ».""]"	REGISTERED_NOT_APPLIED	none
S01-E059	218	Part I Latin translation/notes	"[""AB01-PDF0307""]"	"[""AB01-PDF0083-body-L018""]"	[83]	"[""218, adn. 1, pro <i>Riccii</i> l. <i>Ricii</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E060	226	Part I Latin translation/notes	"[""AB01-PDF0315""]"	"[""AB01-PDF0083-body-L019""]"	[83]	"[""226, adn. 2, pro <i>1835</i> l. <i>1836</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E061	237	Part I Latin translation/notes	"[""AB01-PDF0326""]"	"[""AB01-PDF0083-body-L020""]"	[83]	"[""237, adn. 1, pro <i>al-mumaththil</i> l. <i>al-mu‘addil</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E062	242	Part I Latin translation/notes	"[""AB01-PDF0331""]"	"[""AB01-PDF0083-body-L021"", ""AB01-PDF0083-body-L022"", ""AB01-PDF0083-body-L023"", ""AB01-PDF0083-body-L024"", ""AB01-PDF0083-body-L025"", ""AB01-PDF0083-body-L026"", ""AB01-PDF0083-body-L027"", ""AB01-PDF0083-body-L028"", ""AB01-PDF0083-body-L029"", ""AB01-PDF0083-body-L030"", ""AB01-PDF0083-body-L031"", ""AB01-PDF0083-body-L032"", ""AB01-PDF0083-body-L033"", ""AB01-PDF0083-body-L034""]"	[83]	"[""242, adn. 2: Nominis <i>Dhū ’l-qarnayn</i> originem explicaveram ad fidem complurium peritis-"", ""simorum virorum, praesertim cum <n>Clemens Alexandrinus</n> valde queratur quod"", ""Alexander se ad imaginem Dei, cornibus praeditum, effingi iusserit. Veram nominis ori-"", ""ginem nunc illustrat <n>Fr. Kampers</n>, <i>Alexander der Grosse und die Idee des Weltim-"", ""periums in Prophetie und Sage</i>, Freiburg i. Br. 1901, p. 71–85 (= Studien und Dar-"", ""stellungen aus dem Gebiete der Geschichte hrsg. von H. Grauert, fasc. II–III). In fabulosis"", ""Alexandri narrationibus quae apud Orientales, praesertim Syros, circumferebantur primis"", ""saeculis aerae Christianae, Alexander tanquam novae aetatis instaurator mundique ser-"", ""vator exhibetur, similis Messiae Hebraeorum; ei igitur duo cornua tributa sunt quae in"", ""scriptis Iudaicis insigne Messiae dicuntur. Omnia ex antiquissimis Babylonicis opinionibus"", ""profluunt, quae breviter exposita leguntur in libro <n>E. Schrader</n>, <i>Die Keilinschriften"", ""und das Alte Testament, 3. Auflage neu bearbeitet von</i> <n>H. Zimmern</n> <i>und</i> <n>H. Winck-"", ""ler</n>, Berlin 1902, p. 380–82; eadem causa, 25 saecula ante Alexandrum, Naram-Sin,"", ""Babyloniae rex, duobus cornibus praeditus effictus erat.""]"	REGISTERED_NOT_APPLIED	none
S01-E063	243	Part I Latin translation/notes	"[""AB01-PDF0332""]"	"[""AB01-PDF0083-body-L035"", ""AB01-PDF0083-body-L036"", ""AB01-PDF0083-body-L037""]"	[83]	"[""243: De origine nominum complurium mensium Copticorum optime disseruit <n>A. Wiede-"", ""mann</n>, <i>Zu den ägyptischen Monatsnamen</i> in Orientalistische Litteratur-Zeitung, t. VI,"", ""1903, col. 5–7.""]"	REGISTERED_NOT_APPLIED	none
S01-E064	246	Part I Latin translation/notes	"[""AB01-PDF0335""]"	"[""AB01-PDF0083-body-L038""]"	[83]	"[""246, adn. <i>a</i>: Cfr. etiam Samps Pucharem, in animadvers. ad tabulas t. II, p. 72–77 adductum.""]"	REGISTERED_NOT_APPLIED	none
S01-E065	250	Part I Latin translation/notes	"[""AB01-PDF0339""]"	"[""AB01-PDF0083-body-L039""]"	[83]	"[""250, ad cap. XXXVII: Cfr. praefationem p. XLIII.""]"	REGISTERED_NOT_APPLIED	none
S01-E066	251	Part I Latin translation/notes	"[""AB01-PDF0340""]"	"[""AB01-PDF0083-body-L040"", ""AB01-PDF0083-body-L041"", ""AB01-PDF0083-body-L042"", ""AB01-PDF0083-body-L043""]"	[83]	"[""251,9: Falsum regulam non reperiri apud <n>Ptolemaeum</n>; hic enim V, 7 (ed. Halma I, 315)"", ""ad supputandam tabulam latitudinis Lunae, « in hoc », ait, « eadem demonstratione (<gr>δείξει</gr>)"", ""« usi sumus, qua iam supputavimus arcus circuli per polos aequatoris transeuntis, inter-"", ""« ceptos aequatore et ecliptica », scilicet declinationes Solis.""]"	REGISTERED_NOT_APPLIED	none
S01-E067	262	Part I Latin translation/notes	"[""AB01-PDF0351""]"	"[""AB01-PDF0084-body-L001"", ""AB01-PDF0084-body-L002"", ""AB01-PDF0084-body-L003""]"	[84]	"[""262, adn. <i>s</i>: Discrepantias e diversa eclipticae obliquitate exorientes <n>al-Battānī</n> abstulit, in"", ""tabulis (t. II, p. 95–101) singulis <n>Theonis</n> climatibus aliam latitudinem, novae obliqui-"", ""tati quadrantem, assignans.""]"	REGISTERED_NOT_APPLIED	none
S01-E068	265	Part I Latin translation/notes	"[""AB01-PDF0354""]"	"[""AB01-PDF0084-body-L004"", ""AB01-PDF0084-body-L005"", ""AB01-PDF0084-body-L006""]"	[84]	"[""265, adn. 2: De nunciis Lunae Novae apud Hebraeos, qui testimonium mulierum, servorum"", ""et improborum non recipiebant, cfr. <n>Maimonidis</n> librum <i>de novilunio</i>, cap. II, col. 240–"", ""–244 editionis laudatae in praefatione p. XXXIV, adn. 3.""]"	REGISTERED_NOT_APPLIED	none
S01-E069	266	Part I Latin translation/notes	"[""AB01-PDF0355""]"	"[""AB01-PDF0084-body-L007"", ""AB01-PDF0084-body-L008"", ""AB01-PDF0084-body-L009"", ""AB01-PDF0084-body-L010"", ""AB01-PDF0084-body-L011"", ""AB01-PDF0084-body-L012"", ""AB01-PDF0084-body-L013"", ""AB01-PDF0084-body-L014"", ""AB01-PDF0084-body-L015"", ""AB01-PDF0084-body-L016"", ""AB01-PDF0084-body-L017""]"	[84]	"[""266, adn. 1: Pulcherrimum incertae rei exemplum apud <n>Aḥmad</n> ibn Khālid <n>an-Nāṣirī as-"", ""-Salāwī</n>, <i>Al-istiqṣā’ li akhbār duwal al-Maghrib al-aqṣà</i>, Kahirae 1312 heg., t. IV,"", ""p. 245. Nocte inter 28 et 29 diem mensis ramaḍān 1292 (28–29 Oct. 1875), duodecim"", ""homines in urbe Rabāṭ imperii Maroccani dicunt se Lunam novam post occasum Solis"", ""certissime vidisse. Testimonium eorum recipit qāḍī urbis, statimque scribit ad sultanum"", ""Maroccanum prope urbem tunc commorantem. Ineunte 29 die omnes ieiunium desinunt."", ""Astronomi (<i>falakiyyūn</i>) aulici tamen asseverant illum diem nullo modo posse festum esse;"", ""dubitatio igitur inter homines exoritur. Re vera, post occasum 29 diei, frustra omnes"", ""Lunam novam in Caelo quaerunt, licet purissimus sit aer; denuo igitur ieiunium agunt"", ""usque ad noctem 30 diei (iuxta nostrum supputandi usum), qua Luna nova tandem cer-"", ""nitur. Illorum testium fraus inde elucet, qui in carcerem coniiciuntur.""]"	REGISTERED_NOT_APPLIED	none
S01-E070	272	Part I Latin translation/notes	"[""AB01-PDF0361""]"	"[""AB01-PDF0084-body-L018"", ""AB01-PDF0084-body-L019"", ""AB01-PDF0084-body-L020"", ""AB01-PDF0084-body-L021"", ""AB01-PDF0084-body-L022"", ""AB01-PDF0084-body-L023"", ""AB01-PDF0084-body-L024"", ""AB01-PDF0084-body-L025"", ""AB01-PDF0084-body-L026"", ""AB01-PDF0084-body-L027"", ""AB01-PDF0084-body-L028"", ""AB01-PDF0084-body-L029"", ""AB01-PDF0084-body-L030"", ""AB01-PDF0084-body-L031"", ""AB01-PDF0084-body-L032"", ""AB01-PDF0084-body-L033"", ""AB01-PDF0084-body-L034"", ""AB01-PDF0084-body-L035""]"	[84]	"[""272: Eodem libro V, 1, paulo ante locum adductum, <n>Aristoteles</n> haec narrat: « Qui manu"", ""« sibi obumbrat, aut per fistulam aspicit, differentias colorum nec magis nec minus dis-"", ""« tinguit, sed longinquius cernit. Item qui interdum e foveis ac puteis astra conspiciunt »."", ""Sinarum instrumentum fortasse est cum sphaera armillari globoque caelesti <n>Ger-"", ""berti</n> comparandum, cuius polos transfigebat fistula ad constellationem Ursae Minoris"", ""directa; eam describit <n>Günther</n>, l. c., p. 16–17."", ""Nescio an <i>tubos</i> significare voluerit voce <i>mir’āh</i> <n>Abū ’l-‘Alā’ al-Ma‘arrī</n>, poeta"", ""celeberrimus anno 449 (inc. 9 Mart. 1057) mortuus, duobus locis quos <n>von Kremer</n>,"", ""<i>Culturgeschichte des Orients unter den Chalifen</i>, Wien 1875–77, t. II, p. 448 adducit."", ""Alter est (= <i>Luzūm mā lā yalzam</i>, Bombay 1303 heg., p. 155):"", ""<ar>خُذِ المرآةَ واختبِرْ نُجُومًا</ar>     <ar>تُمِرُّ بِمَطْعَمِ الأَرْيِ المَشُورِ</ar>"", ""<ar>تَدُلُّ على الحِمام بلا ارتيابِ</ar>     <ar>ولكن لا تَدُلَّ على النُّشُورِ</ar>"", ""« mir’āh sume, ac sidera bene cognosce quae amarum faciunt saporem mellis ex al-"", ""« veari collecti, [nam] procul dubio mortem portendunt, non vero resurrectionem »."", ""Altero loco ait <i>mir’āh</i> astronomi, licet parvum sit, ei tamen universum ostendere. Voca-"", ""bulum plerumque <i>speculum</i> significat; qua re Kremer instrumentis astronomicis Arabum"", ""« Spiegel von polirtem Metall » adnumerat. Vix recte. His locis genuinus vocabuli sensus"", ""mihi restituendus videtur, scilicet <i>instrumenti quo res cernuntur</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E071	281	Part I Latin translation/notes	"[""AB01-PDF0370""]"	"[""AB01-PDF0084-body-L036"", ""AB01-PDF0084-body-L037""]"	[84]	"[""281, adn. <i>b</i>: Locus non ad <i>Tabulas Alphonsinas</i> pertinet, sed ad canones in easdem a <n>San-"", ""tritter</n> conscriptos; cfr. meam praefationem p. XXXVI, adn. 7.""]"	REGISTERED_NOT_APPLIED	none
S01-E072	286–287	Part I Latin translation/notes	"[""AB01-PDF0375"", ""AB01-PDF0376""]"	"[""AB01-PDF0084-body-L038"", ""AB01-PDF0084-body-L039"", ""AB01-PDF0084-body-L040"", ""AB01-PDF0084-body-L041"", ""AB01-PDF0085-body-L001"", ""AB01-PDF0085-body-L002"", ""AB01-PDF0085-body-L003"", ""AB01-PDF0085-body-L004"", ""AB01-PDF0085-body-L005"", ""AB01-PDF0085-body-L006"", ""AB01-PDF0085-body-L007"", ""AB01-PDF0085-body-L008"", ""AB01-PDF0085-body-L009"", ""AB01-PDF0085-body-L010"", ""AB01-PDF0085-body-L011"", ""AB01-PDF0085-body-L012"", ""AB01-PDF0085-body-L013"", ""AB01-PDF0085-body-L014"", ""AB01-PDF0085-body-L015"", ""AB01-PDF0085-body-L016"", ""AB01-PDF0085-body-L017"", ""AB01-PDF0085-body-L018"", ""AB01-PDF0085-body-L019"", ""AB01-PDF0085-body-L020"", ""AB01-PDF0085-body-L021""]"	[84, 85]	"[""286–287: Eosdem Ibn Rosteh numeros invenio apud <n>Thābit ibn Qorrah</n>, eius coaevum,"", ""in libello <i>in expositione Almagesti</i>, qui Latine tantum ac ineditus exstat (1). Nam mi-"", ""nimae distantiae sunt: Lunae 33 radiorum terrestrium, Mercurii 64, Veneris 167, Solis"", ""1079, Martis 1260, Iovis 8820, Saturni 14187; sed maxima Saturni minimaque fixarum"", ""17865 (pro 19880 et 20000 Ibn Rosteh). Moles autem: Solis 166, fixarum primae ma-"", ""gnitudinis 94, Saturni et Iovis « quasi » 79, Martis « quasi » <m>1\\,{}^1\\!/_2</m>, Veneris « quasi » <m>{}^1\\!/_{87}</m>,"", ""Lunae <m>{}^1\\!/_{40}</m> (A <m>{}^1\\!/_{10}</m>), Mercurii <m>{}^1\\!/_{29680}</m> (A <m>{}^1\\!/_{29683}</m>). Unde haec omnia sumpserit non dicit."", ""Eodem codice B, f. 54,v.,b–56,v.,a, alius etiam libellus inest: « <i>Incipit liber Thebith"", ""« de quantitatibus stellarum et planetarum et proportio terre.</i> Ptholomeus et alij sa-"", ""« pientes posuerunt corpus terre communem mensuram qua metiebantur stellarum cor-"", ""« pora, et posuerunt medietatem diametri terre communem mensuram qua stellarum a"", ""« centro terre longitudines mensurabant..... ». Breviter distantias Solis et Lunae a Pto-"", ""lemaeo in eclipsibus repertas exponit; quo facto addit (f. 55,r.,a et b): « Dicit ergo <n>Ge-"", ""« ber</n> ostensum est per hoc proportio [sic] cuiuscumque 2. diametrorum luminarium ad"", ""« diametrum terre ». Sequuntur diametri corporum caelestium, eorum moles (« corpora »),"", ""nec non eorum distantiae a centro Terrae in radiis terrestribus et in milliaribus (gradu"", ""aequatoris <m>56\\,{}^3\\!/_8</m> milliariorum sumpto). Calculi ratio a ratione quam Albatenius refert"", ""non discrepant, sed numeri cum al-Farghānī congruunt. — Demum latitudines septem"", ""climatum Terrae exponit ad al-Farghānī fidem (« Alfragano » f. 56,r.,a); ultima verba"", ""sunt: « Latitudo 7.<sup>i</sup> climatis est trium graduum et 4.<sup>e</sup> unius in celo, qui valent in terra"", ""« 184. sed iste non est in terra, sed proximus ei maior scilicet ille 185. quia quoddam"", ""« modicum remansit. Explicit tebith de quantitatibus stellarum ». Ob Alfragani et potis-"", ""simum Gebri (Ǵābir ibn Aflaḥ) nomina, ac ob discrepantias a numeris alterius opusculi,"", ""vehementissima suspicio subit libellum spurium esse. Alios codices indicat <n>Steinschnei-"", ""der</n>, <i>Thabit ben Korra</i>, in Zeitschrift für Mathematik und Physik, XVIII, 1873, p. 337.""]"	REGISTERED_NOT_APPLIED	none
S01-E073	291	Part I Latin translation/notes	"[""AB01-PDF0380""]"	"[""AB01-PDF0085-body-L022"", ""AB01-PDF0085-body-L023"", ""AB01-PDF0085-body-L024"", ""AB01-PDF0085-body-L025""]"	[85]	"[""291,7 a f. (notis non supputatis): Alia exempla vocum <i>al-kātib</i> et <i>al-mukātib</i> pro Mercurio,"", ""<i>al-muqātil</i> pro Saturno, passim occurrunt apud Maroccanum <n>Muḥammad as-Sūsī"", ""al-Marghitī</n>, <i>al-Mumta‘ fī sharḥ al-maqna‘</i> et <i>al-Maṭla‘ ‘alà masā’il al-maqna‘</i>"", ""(ambo eodem tomo impressi Fez 1313 heg.; cfr. p. 205, adn. 1).""]"	REGISTERED_NOT_APPLIED	none
S01-E074	291	Part I Latin translation/notes	"[""AB01-PDF0380""]"	"[""AB01-PDF0085-body-L026"", ""AB01-PDF0085-body-L027"", ""AB01-PDF0085-body-L028"", ""AB01-PDF0085-body-L029"", ""AB01-PDF0085-body-L030"", ""AB01-PDF0085-body-L031"", ""AB01-PDF0085-body-L032"", ""AB01-PDF0085-body-L033"", ""AB01-PDF0085-body-L034"", ""AB01-PDF0085-body-L035"", ""AB01-PDF0085-body-L036"", ""AB01-PDF0085-body-L037"", ""AB01-PDF0085-body-L038"", ""AB01-PDF0085-body-L039"", ""AB01-PDF0085-body-L040"", ""AB01-PDF0085-body-L041"", ""AB01-PDF0086-body-L001"", ""AB01-PDF0086-body-L002"", ""AB01-PDF0086-body-L003"", ""AB01-PDF0086-body-L004"", ""AB01-PDF0086-body-L005"", ""AB01-PDF0086-body-L006"", ""AB01-PDF0086-body-L007"", ""AB01-PDF0086-body-L008"", ""AB01-PDF0086-body-L009"", ""AB01-PDF0086-body-L010"", ""AB01-PDF0086-body-L011"", ""AB01-PDF0086-body-L012"", ""AB01-PDF0086-body-L013"", ""AB01-PDF0086-body-L014"", ""AB01-PDF0086-body-L015"", ""AB01-PDF0086-body-L016"", ""AB01-PDF0086-body-L017"", ""AB01-PDF0086-body-L018"", ""AB01-PDF0086-body-L019"", ""AB01-PDF0086-body-L020"", ""AB01-PDF0086-body-L021"", ""AB01-PDF0086-body-L022"", ""AB01-PDF0086-body-L023"", ""AB01-PDF0086-body-L024"", ""AB01-PDF0086-body-L025"", ""AB01-PDF0086-body-L026"", ""AB01-PDF0086-body-L027"", ""AB01-PDF0086-body-L028"", ""AB01-PDF0086-body-L029"", ""AB01-PDF0086-body-L030"", ""AB01-PDF0086-body-L031"", ""AB01-PDF0086-body-L032"", ""AB01-PDF0086-body-L033"", ""AB01-PDF0086-body-L034"", ""AB01-PDF0086-body-L035"", ""AB01-PDF0086-body-L036"", ""AB01-PDF0086-body-L037"", ""AB01-PDF0086-body-L038"", ""AB01-PDF0087-body-L001"", ""AB01-PDF0087-body-L002"", ""AB01-PDF0087-body-L003"", ""AB01-PDF0087-body-L004"", ""AB01-PDF0087-body-L005"", ""AB01-PDF0087-body-L006"", ""AB01-PDF0087-body-L007"", ""AB01-PDF0087-body-L008""]"	[85, 86, 87]	"[""291, adn. 3: Codice Parisiensi fretus, libellum tribueram <n>az-Zarqālī</n>. At postea nonnulla ex"", ""eodem (olim cod. Sorb. 980) excerpta inveni apud <n>Steinschneider</n>, <i>Zum Speculum"", ""astronomicum</i>, in Zeitschr. f. Mathem. XVI, 1871, p. 390, qui ostendit Arçachel esse cor-"", ""ruptum ex <n>Zahel</n>, i. e. <n>Sahl ibn Bishr</n> (1). In exemplar Parisiense nonnulla irrepserunt"", ""minime ad hoc opusculum pertinentia; qua re operae pretium duco notitias ex optimo"", ""codice Bibliothecae Laurentianae (Florentiae), nota « S. Marco 194 » insignito (f. 69,r.–"", ""–87,v.), Steinschneiderianis (2) addere. Initium est: « Incipit <i>liber arçachelis introducto-"", ""« rium ad librum iudiciorum arabum.</i> [Omnibus] planetis erraticis qui feruntur in"", ""« signis. non quod sint in eis. sed quia feruntur sub eis. hoc est in directo eorum. altior"", ""« et propior circulo signorum et cursu tardior est almicatil [<i>al-muqātil</i>] .i. saturnus."", ""« Deinde almustaim [<i>al-mushtarī</i>] .i. iupiter. Deinde almereg [<i>al-mirrīkh</i>] .i. mars."", ""« Deinde semuz [<i>ash-shams</i>] .i. sol. Deinde azara [<i>az-zuharuh</i>] .i. venus. Deinde aio-"", ""« tarit [<i>‘uṭārid</i>] .i. mercurius. quem sequitur alamar [<i>al-qamar</i>] .i. luna. que est terre"", ""« propior et cursu omnibus velocior. — Significantur etiam per caput et caudam draconis"", ""« quod arabes dicunt ieuzahar [<i>ǵawzahar</i>]..... ». Postea haec capita sunt: <i>De domibus;"", ""De gaudiis planetarum; De exaltationibus et casibus eorumdem; De distinctione</i>"", ""<i>signorum fixorum, mobilium et communium</i> (1); <i>De faciebus signorum</i> (subiecta"", ""tabula); <i>De signorum complexionibus; De ascensionibus</i> (cuius tabula vacua relicta"", ""est); <i>De planetarum aspectibus; De planetarum fortitudine; De planetarum debi-"", ""litate</i> (2)."", ""Sequitur « <i>De planetarum profectu:</i> Expositio quoque eorum que dicuntur de planetis"", ""« qui habeant testimonium aut [?] partem seu dignitatem. Si fuerit planeta in domo sua..... »."", ""Congruunt haec et sequentia cum editione impressa, f. 114,r.,b, usque ad finem capitis"", ""de gaudiis planetarum (« .....et eorum domorum »). Postea: « Explicit <i>liber primus.</i> In-"", ""« cipit <i>secundus</i> in quo distinguuntur 50 capitula. et de principalitate significationis lune"", ""« ad ceteros planetas. <i>Primum capitulum.</i> Scito quod significatrix .i. luna cuius circulus"", ""« est omnium planetarum circulis propior terre..... ». Explicit secundus liber verbis « scito"", ""« hoc totum »; omnino congruit cum editione f. 114,r.,b–115,v.,a, in qua haec pars inscri-"", ""bitur: <i>Incipiunt precipua iudicia et sunt 50.</i>"", ""Codex (f. 72,r.) ita pergit: « Explicit <i>secundus.</i> Sequitur <i>de planetarum obsidio-"", ""« nibus.</i> Obsessus dicitur planeta cum fuerit .s. inter duos malos separatus ab uno eorum"", ""« et vinctus alteri absque prohiectione radiorum..... ». Est caput de planetis obsessis in"", ""edit. f. 114,r.,a. Postea <i>De planetarum significationibus; De expositionibus modorum;"", ""De planetarum orbibus</i>, etc. usque ad finem f. 72,v.; quae capita omnia sunt in edit."", ""f. 112,r.,b–113,v.,b, licet priorum inscriptiones interdum differant (edit.: <i>de effectu et de-"", ""trimento planetarum; expositio alicbel; scientia luminum vel orbium planetarum</i>)."", ""His absolutis codex f. 73,r.–v. praebet <i>significationes</i> cuiusque domus, et <i>loca di-"", ""gniora circuli et laudabiliora</i>, quae in edit. f. 111,v.,b–112,r.,b exponuntur. Deinde duo"", ""capita: <i>De 10 modis quibus luna impeditur</i>, et <i>De lune alteratione ex aliorum pla-"", ""netarum coniunctione et separatione</i>, quae in edit. f. 114,r.,a, in unum conflata sunt,"", ""cui titulus: <i>De vitijs lune et eius malo esse.</i> At desunt in edit. quae postea, f. 74,r.–v.,"", ""codex habet: <i>De dierum distinctione per lune et capitis draconis sive caude coniun-"", ""ctionem</i> (expl.: « cauda vero eius mala est naturaque illius est composita ex natura sa-"", ""« turni et martis. significat deiectionem et casum atque paupertatem »), cui subsequitur"", ""tabella <i>dierum fortunatorum, laudabilium</i> etc. iuxta Lunae aspectus cum reliquis sex"", ""planetis."", ""F. 75,r. codicis haec sunt: « <i>Iudiciorum arabum liber</i> incipit et primum de modo"", ""« questionis docet. Cum interrogatus fueris de aliqua interrogatione. incipies aspicere sicut"", ""« predixi tibi ». Explicit f. 87,v.: « quod pertinet ad eamdem domum et omnes res illius »."", ""Est igitur libri pars quae in edit. f. 115,v.,a–125,v.,a complectitur, ac titulum: « Sequitur"", ""« <i>de interrogationibus</i> » habet. Editio, ad complendum librum, parvum addit caput de"", ""significationibus horarum planetarum in interrogationibus."", ""E collatione locorum quos Arabice passim <n>O. Loth</n> dedit in scripto <i>Al-Kindî als"", ""Astrolog</i> (Morgenländische Forschungen, Festschrift Herrn Prof. Fleischer gewidmet,"", ""Leipzig 1875, p. 263–309), iuxta codicem Lipsiensem inscriptum « Librum iudiciorum »"", ""(<i>kitāb al-aḥkām</i>), patet editionem Latinam impressam omnino cum textu Arabico con-"", ""gruere; qua re non impossibile est initium codicum Laurentiani et Parisiensis, quo vox"", ""<i>almicatil</i> occurrit, interpolatum esse a viris in Hispania degentibus. — Certum est hoc"", ""initium non reperiri in alio codice (apud <n>Schum</n>, <i>Amplonianische Handschriften-Samm-"", ""lung zu Erfurt</i>, p. 775, Duodez nr. 18, III) falso quoque « <n>Azarchelis</n> <i>lib. introdu-"", ""« ctorius</i> » inscripto, cuius prima verba: « Scito quod signa sunt 12 », sicut in editione"", ""Zahelis typis expressa.""]"	REGISTERED_NOT_APPLIED	none
S01-E075	292–293	Part I Latin translation/notes	"[""AB01-PDF0381"", ""AB01-PDF0382""]"	"[""AB01-PDF0087-body-L009"", ""AB01-PDF0087-body-L010"", ""AB01-PDF0087-body-L011""]"	[87]	"[""292–293: Nescio unde notitiam sumpserit <n>Gherardus a Sabloneta</n> (vide locum in mea"", ""praefat. p. XXXV–VI), Albatenium dixisse stellas fixas uno gradu in 60 annis et 4 mensi-"", ""bus moveri. Error etiam apud <n>Baldi</n> p. 440 (extr. p. 20).""]"	REGISTERED_NOT_APPLIED	none
S01-E076	293	Part I Latin translation/notes	"[""AB01-PDF0382""]"	"[""AB01-PDF0087-body-L012""]"	[87]	"[""293, adn. 5, pro <i>p. 97</i>, l. <i>p. 25 (seu 97 libri seorsum editi)</i>.""]"	REGISTERED_NOT_APPLIED	none
