table_id	cell_id	row	column	source_pdf_rect	literal	status	glyph_id
AB01-PDF0097-T01	AB01-PDF0097-T01-R04-C11	4	11	[447.6090909090909, 487.9818181818182, 475.8, 515.8090909090909]	7	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R05-C01	5	1	[165.7, 515.8090909090909, 193.89090909090908, 543.6363636363636]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R05-C02	5	2	[193.89090909090908, 515.8090909090909, 222.08181818181816, 543.6363636363636]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R05-C03	5	3	[222.08181818181816, 515.8090909090909, 250.27272727272725, 543.6363636363636]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R05-C04	5	4	[250.27272727272725, 515.8090909090909, 278.46363636363634, 543.6363636363636]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R05-C05	5	5	[278.46363636363634, 515.8090909090909, 306.6545454545454, 543.6363636363636]	grad.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R05-C06	5	6	[306.6545454545454, 515.8090909090909, 334.8454545454546, 543.6363636363636]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R05-C07	5	7	[334.8454545454546, 515.8090909090909, 363.03636363636366, 543.6363636363636]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R05-C08	5	8	[363.03636363636366, 515.8090909090909, 391.22727272727275, 543.6363636363636]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R05-C09	5	9	[391.22727272727275, 515.8090909090909, 419.4181818181818, 543.6363636363636]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R05-C10	5	10	[419.4181818181818, 515.8090909090909, 447.6090909090909, 543.6363636363636]	5	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R05-C11	5	11	[447.6090909090909, 515.8090909090909, 475.8, 543.6363636363636]	6	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R06-C01	6	1	[165.7, 543.6363636363636, 193.89090909090908, 571.4636363636364]	5	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R06-C02	6	2	[193.89090909090908, 543.6363636363636, 222.08181818181816, 571.4636363636364]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R06-C03	6	3	[222.08181818181816, 543.6363636363636, 250.27272727272725, 571.4636363636364]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R06-C04	6	4	[250.27272727272725, 543.6363636363636, 278.46363636363634, 571.4636363636364]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R06-C05	6	5	[278.46363636363634, 543.6363636363636, 306.6545454545454, 571.4636363636364]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R06-C06	6	6	[306.6545454545454, 543.6363636363636, 334.8454545454546, 571.4636363636364]	grad.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R06-C07	6	7	[334.8454545454546, 543.6363636363636, 363.03636363636366, 571.4636363636364]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R06-C08	6	8	[363.03636363636366, 543.6363636363636, 391.22727272727275, 571.4636363636364]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R06-C09	6	9	[391.22727272727275, 543.6363636363636, 419.4181818181818, 571.4636363636364]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R06-C10	6	10	[419.4181818181818, 543.6363636363636, 447.6090909090909, 571.4636363636364]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R06-C11	6	11	[447.6090909090909, 543.6363636363636, 475.8, 571.4636363636364]	5	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R07-C01	7	1	[165.7, 571.4636363636364, 193.89090909090908, 599.290909090909]	6	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R07-C02	7	2	[193.89090909090908, 571.4636363636364, 222.08181818181816, 599.290909090909]	5	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R07-C03	7	3	[222.08181818181816, 571.4636363636364, 250.27272727272725, 599.290909090909]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R07-C04	7	4	[250.27272727272725, 571.4636363636364, 278.46363636363634, 599.290909090909]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R07-C05	7	5	[278.46363636363634, 571.4636363636364, 306.6545454545454, 599.290909090909]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R07-C06	7	6	[306.6545454545454, 571.4636363636364, 334.8454545454546, 599.290909090909]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R07-C07	7	7	[334.8454545454546, 571.4636363636364, 363.03636363636366, 599.290909090909]	grad.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R07-C08	7	8	[363.03636363636366, 571.4636363636364, 391.22727272727275, 599.290909090909]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R07-C09	7	9	[391.22727272727275, 571.4636363636364, 419.4181818181818, 599.290909090909]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R07-C10	7	10	[419.4181818181818, 571.4636363636364, 447.6090909090909, 599.290909090909]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R07-C11	7	11	[447.6090909090909, 571.4636363636364, 475.8, 599.290909090909]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R08-C01	8	1	[165.7, 599.290909090909, 193.89090909090908, 627.1181818181818]	7	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R08-C02	8	2	[193.89090909090908, 599.290909090909, 222.08181818181816, 627.1181818181818]	6	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R08-C03	8	3	[222.08181818181816, 599.290909090909, 250.27272727272725, 627.1181818181818]	5	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R08-C04	8	4	[250.27272727272725, 599.290909090909, 278.46363636363634, 627.1181818181818]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R08-C05	8	5	[278.46363636363634, 599.290909090909, 306.6545454545454, 627.1181818181818]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R08-C06	8	6	[306.6545454545454, 599.290909090909, 334.8454545454546, 627.1181818181818]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R08-C07	8	7	[334.8454545454546, 599.290909090909, 363.03636363636366, 627.1181818181818]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R08-C08	8	8	[363.03636363636366, 599.290909090909, 391.22727272727275, 627.1181818181818]	grad.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R08-C09	8	9	[391.22727272727275, 599.290909090909, 419.4181818181818, 627.1181818181818]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R08-C10	8	10	[419.4181818181818, 599.290909090909, 447.6090909090909, 627.1181818181818]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R08-C11	8	11	[447.6090909090909, 599.290909090909, 475.8, 627.1181818181818]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R09-C01	9	1	[165.7, 627.1181818181818, 193.89090909090908, 654.9454545454546]	8	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R09-C02	9	2	[193.89090909090908, 627.1181818181818, 222.08181818181816, 654.9454545454546]	7	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R09-C03	9	3	[222.08181818181816, 627.1181818181818, 250.27272727272725, 654.9454545454546]	6	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R09-C04	9	4	[250.27272727272725, 627.1181818181818, 278.46363636363634, 654.9454545454546]	5	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R09-C05	9	5	[278.46363636363634, 627.1181818181818, 306.6545454545454, 654.9454545454546]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R09-C06	9	6	[306.6545454545454, 627.1181818181818, 334.8454545454546, 654.9454545454546]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R09-C07	9	7	[334.8454545454546, 627.1181818181818, 363.03636363636366, 654.9454545454546]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R09-C08	9	8	[363.03636363636366, 627.1181818181818, 391.22727272727275, 654.9454545454546]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R09-C09	9	9	[391.22727272727275, 627.1181818181818, 419.4181818181818, 654.9454545454546]	grad.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R09-C10	9	10	[419.4181818181818, 627.1181818181818, 447.6090909090909, 654.9454545454546]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R09-C11	9	11	[447.6090909090909, 627.1181818181818, 475.8, 654.9454545454546]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R10-C01	10	1	[165.7, 654.9454545454546, 193.89090909090908, 682.7727272727273]	9	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R10-C02	10	2	[193.89090909090908, 654.9454545454546, 222.08181818181816, 682.7727272727273]	8	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R10-C03	10	3	[222.08181818181816, 654.9454545454546, 250.27272727272725, 682.7727272727273]	7	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R10-C04	10	4	[250.27272727272725, 654.9454545454546, 278.46363636363634, 682.7727272727273]	6	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R10-C05	10	5	[278.46363636363634, 654.9454545454546, 306.6545454545454, 682.7727272727273]	5	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R10-C06	10	6	[306.6545454545454, 654.9454545454546, 334.8454545454546, 682.7727272727273]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R10-C07	10	7	[334.8454545454546, 654.9454545454546, 363.03636363636366, 682.7727272727273]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R10-C08	10	8	[363.03636363636366, 654.9454545454546, 391.22727272727275, 682.7727272727273]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R10-C09	10	9	[391.22727272727275, 654.9454545454546, 419.4181818181818, 682.7727272727273]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R10-C10	10	10	[419.4181818181818, 654.9454545454546, 447.6090909090909, 682.7727272727273]	grad.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R10-C11	10	11	[447.6090909090909, 654.9454545454546, 475.8, 682.7727272727273]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R11-C01	11	1	[165.7, 682.7727272727273, 193.89090909090908, 710.6]	10	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R11-C02	11	2	[193.89090909090908, 682.7727272727273, 222.08181818181816, 710.6]	9	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R11-C03	11	3	[222.08181818181816, 682.7727272727273, 250.27272727272725, 710.6]	8	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R11-C04	11	4	[250.27272727272725, 682.7727272727273, 278.46363636363634, 710.6]	7	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R11-C05	11	5	[278.46363636363634, 682.7727272727273, 306.6545454545454, 710.6]	6	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R11-C06	11	6	[306.6545454545454, 682.7727272727273, 334.8454545454546, 710.6]	5	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R11-C07	11	7	[334.8454545454546, 682.7727272727273, 363.03636363636366, 710.6]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R11-C08	11	8	[363.03636363636366, 682.7727272727273, 391.22727272727275, 710.6]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R11-C09	11	9	[391.22727272727275, 682.7727272727273, 419.4181818181818, 710.6]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R11-C10	11	10	[419.4181818181818, 682.7727272727273, 447.6090909090909, 710.6]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R11-C11	11	11	[447.6090909090909, 682.7727272727273, 475.8, 710.6]	grad.	TRANSCRIBED	
